exp_name,score,start_time,run_time

RepresentedMsPacman-v0-naive_actor-prompt_level6-1000,[230.0],2024-09-29 00:53:17,00:26:43
RepresentedMsPacman-v0-cot_actor-prompt_level6-1000,[340.0],2024-09-29 01:20:03,00:25:05
RepresentedMsPacman-v0-naive_actor-prompt_level7-1000,[970.0],2024-09-29 01:45:12,00:44:41
RepresentedMsPacman-v0-cot_actor-prompt_level7-1000,[390.0],2024-09-29 10:42:14,00:22:39
RepresentedMsPacman-v0-naive_actor-prompt_level7-1000,[270.0],2024-09-29 14:10:42,00:38:50
RepresentedMsPacman-v0-naive_actor-prompt_level7-1000,[140.0],2024-09-30 16:25:59,00:31:54
